id_voto;idservico;titulo_servico;slug_servico;slug_categoria;siglaorgao;nome_orgao;data_voto;avaliacao_voto_servico
2206;665;Solicitar apoio a projetos culturais por meio de editais públicos;apoio-a-projetos-culturais-por-meio-de-editais-publicos23;administracao-publica;FCMS;Fundação de Cultura de Mato Grosso do Sul;2026-01-27 04:15:28.529303+00:00;1
2205;1153;Solicitar atendimento no Procon/MS;solicitar-atendimento-no-proconms97;direitos-e-cidadania;SEAD;Secretaria de Estado de Assistência Social e Direitos Humanos;2026-01-26 22:16:09.662380+00:00;1
2204;135;Emitir certidão de antecedentes criminais;expedicao-de-certidao-de-antecedentes-criminais35;seguranca;CGP;Coordenadoria Geral de Perícias de Mato Grosso do Sul;2026-01-26 17:44:31.224708+00:00;2
2203;1022;Emitir certificado do ensino médio;emitir-certificado-de-conclusao-do-ensino-medio111;educacao-e-pesquisa;SED MS;Secretaria de Estado de Educação de Mato Grosso do Sul;2026-01-26 13:19:00.299810+00:00;1
2202;1372;Processo Seletivo Permanente - Notas do ENEM - Vagas Remanescentes;processo-seletivo-permanente-notas-do-enem-vagas-remanescentes60;educacao-e-pesquisa;UEMS;Universidade Estadual de Mato Grosso do Sul;2026-01-26 01:28:31.711588+00:00;1
2201;135;Emitir certidão de antecedentes criminais;expedicao-de-certidao-de-antecedentes-criminais35;seguranca;CGP;Coordenadoria Geral de Perícias de Mato Grosso do Sul;2026-01-25 02:28:52.210662+00:00;1
2200;342;IPVA - redução da base de cálculo do IPVA para veículos de Frotista;ipva-reducao-da-base-de-calculo-do-ipva-para-veiculos-de-frotista18;financas-e-impostos;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;2026-01-25 00:27:30.912469+00:00;3
2199;534;Guia para liberação de mercadoria estrangeira sem comprovação do recolhimento do ICMS (GLME) - análise e concessão de visto;guia-para-liberacao-de-mercadoria-estrangeira-sem-comprovacao-do-recolhimento-do-icms-glme-analise-e-concessao-de-visto96;financas-e-impostos;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;2026-01-24 22:43:44.459496+00:00;1
2198;1315;Buscar atendimento Guichê 60+;buscar-atendimento-guiche-60172;direitos-e-cidadania;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-01-24 21:41:17.167693+00:00;1
2197;257;Solicitar carteira de identificação por nome social - CNS;solicitar-carteira-de-identificacao-por-nome-social-cns171;direitos-e-cidadania;SEC;Secretaria de Estado da Cidadania;2026-01-24 11:48:40.504040+00:00;3
2196;135;Emitir certidão de antecedentes criminais;expedicao-de-certidao-de-antecedentes-criminais35;seguranca;CGP;Coordenadoria Geral de Perícias de Mato Grosso do Sul;2026-01-23 19:17:22.159011+00:00;4
2195;125;Solicitar carteira de identidade;expedicao-de-carteira-de-identidade127;direitos-e-cidadania;CGP;Coordenadoria Geral de Perícias de Mato Grosso do Sul;2026-01-23 18:08:23.607629+00:00;1
2194;29;Inscrever no processo de seleção unificada SISU sistema de seleção unificada;0333-proe-divisao-de-ingresso-discente-dindproe-sisu-sistema-de-selecao-unificada42;educacao-e-pesquisa;UEMS;Universidade Estadual de Mato Grosso do Sul;2026-01-23 17:12:01.705872+00:00;3
2193;29;Inscrever no processo de seleção unificada SISU sistema de seleção unificada;0333-proe-divisao-de-ingresso-discente-dindproe-sisu-sistema-de-selecao-unificada42;educacao-e-pesquisa;UEMS;Universidade Estadual de Mato Grosso do Sul;2026-01-23 14:47:25.408412+00:00;5
2192;125;Solicitar carteira de identidade;expedicao-de-carteira-de-identidade127;direitos-e-cidadania;CGP;Coordenadoria Geral de Perícias de Mato Grosso do Sul;2026-01-23 13:56:22.073469+00:00;3
2191;610;Autorização específica - crédito outorgado e redução do percentual de MVA nas operações internas realizadas por estabelecimentos comerciais atacadistas (Decreto nº 15.368/2020) - apenas para atacadistas;autorizacao-especifica-utilizacao-de-credito-outorgado-nas-operacoes-internas-realizadas-por-estabelecimentos-comerciais-atacadistas-com-mercadorias-destinadas-a-comercializacao-ou-a-industrializacao-dec-15368202042;financas-e-impostos;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;2026-01-23 12:48:41.055891+00:00;3
2190;1152;Solicitar bloqueio de ligação de telemarketing;solicitar-bloqueio-de-ligacao-de-telemaketing22;direitos-e-cidadania;SEAD;Secretaria de Estado de Assistência Social e Direitos Humanos;2026-01-22 22:00:18.557373+00:00;1
2189;1218;Solicitar inclusão no Programa Cuidar de Quem Cuida;programa-cuidar-de-quem-cuida60;assistencia-social;SEAD;Secretaria de Estado de Assistência Social e Direitos Humanos;2026-01-22 21:12:48.233004+00:00;5
2188;135;Emitir certidão de antecedentes criminais;expedicao-de-certidao-de-antecedentes-criminais35;seguranca;CGP;Coordenadoria Geral de Perícias de Mato Grosso do Sul;2026-01-22 20:22:48.789642+00:00;1
2187;469;Solicitar a verificação de vida escolar e autenticidade de documentos escolares de estudantes do sistema de ensino de Mato Grosso do Sul;verificacao-de-vida-escolar-e-autenticidade-de-documentos-escolares-de-estudantes-do-sistema-de-ensino-de-mato-grosso-do-sul26;educacao-e-pesquisa;SED MS;Secretaria de Estado de Educação de Mato Grosso do Sul;2026-01-22 18:30:27.919450+00:00;1
2186;1022;Emitir certificado do ensino médio;emitir-certificado-de-conclusao-do-ensino-medio111;educacao-e-pesquisa;SED MS;Secretaria de Estado de Educação de Mato Grosso do Sul;2026-01-22 18:13:15.556581+00:00;1
2185;1350;Consultar receita médica digital;consultar-receita-medica-digital136;saude-e-cuidado;SES;Secretaria de Estado de Saúde de Mato Grosso do Sul;2026-01-22 16:48:20.466892+00:00;1
2184;302;Solicitar inclusão no Programa Mais Social;solicitacao-de-inclusao-no-programa-mais-social118;assistencia-social;SEAD;Secretaria de Estado de Assistência Social e Direitos Humanos;2026-01-22 14:00:06.725457+00:00;3
2183;659;Seleção e Ingresso de Pessoal por meio de Concursos Públicos, Processos Seletivos Internos e Processos Seletivos Simplificados;selecao-e-ingresso-de-pessoal-por-meio-de-concursos-publicos-processos-seletivos-internos-e-processos-seletivos-simplificados149;administracao-publica;SAD;Secretaria de Estado de Administração de Mato Grosso do Sul;2026-01-21 20:40:31.641099+00:00;4
