titulo_servico;siglaorgao;nome_orgao;categoria;url
Autorização específica - credenciamento para remessa de alumínio a estabelecimentos de outra UF, assumindo a responsabilidade pelo pagamento do ICMS (art. 47-A, § 5º, II do Anexo III ao RICMS);SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-especifica-credenciamento-para-remessa-de-aluminio-em-outra-uf-clausula-1a-4o-ii-do-convenio-icms-362016-art-47-a-5o-ii-do-anexo-iii-ao-regulamento-do-icms34
Autorização específica - crédito outorgado e redução do percentual de MVA nas operações internas realizadas por estabelecimentos comerciais atacadistas (Decreto nº 15.368/2020) - apenas para atacadistas;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-especifica-utilizacao-de-credito-outorgado-nas-operacoes-internas-realizadas-por-estabelecimentos-comerciais-atacadistas-com-mercadorias-destinadas-a-comercializacao-ou-a-industrializacao-dec-15368202042
Autorização específica - crédito outorgado nas operações internas e interestaduais com açúcar pelos fabricantes de açúcar;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Empresa, Indústria e Comércio;https://www.ms.gov.br/empresa-industria-e-comercio/autorizacao-especifica-credito-outorgado-nas-operacoes-internas-e-interestaduais-com-acucar-pelos-fabricantes-de-acucar145
Autorização específica - crédito presumido incidente nas operações com energia elétrica e serviços de comunicação;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Empresa, Indústria e Comércio;https://www.ms.gov.br/empresa-industria-e-comercio/autorizacao-especifica-credito-presumido-incidente-nas-operacoes-com-energia-eletrica-e-servicos-de-comunicacao123
Autorização específica - crédito presumido nas operações com os produtos resultantes da industrialização do leite (art. 1º do Decreto nº 6.996/1993) - apenas para industrializadores de leite;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-especifica-credito-presumido-incidente-nas-operacoes-com-os-produtos-resultantes-da-industrializacao-do-leite128
Autorização específica - crédito presumido nas operações internas ou interestaduais com produtos cerâmicos (art. 77, II do Anexo I ao RICMS) - apenas para indústrias;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-especifica-credito-presumido-nas-operacoes-internas-ou-interestaduais-com-produtos-ceramicos137
Autorização específica - diferimento do ICMS na aquisição de embalagens plásticas e latas produzidas em MS para acondicionar os produtos do adquirente (Resolução Interna SEF de 1993) - apenas para indústrias e abatedores de animais;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-especifica-diferimento-do-icms-na-aquisicao-de-embalagens-plasticas-e-latas-produzidas-em-ms-e-utilizadas-no-acondicionamento-dos-produtos-do-adquirente-resolucao-interna-sef-000-de-17081993173
Autorização específica - diferimento do ICMS na aquisição de produtos agrícolas por empresa industrializadora de ração animal, na operação interna (art. 7º do Decreto nº 9.895/2000) - apenas para indústrias de ração animal;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-especifica-aquisicao-de-produtos-agricolas-por-empresa-industrializadora-de-racao-animal-com-diferimento-do-lancamento-e-do-pagamento-do-icms-na-operacao-interna28
Autorização específica - diferimento do ICMS na aquisição de produtos agrícolas por indústrias, na operação interna (art. 3º do Decreto nº 9.895/2000) - apenas para indústrias, exceto fabricantes de ração animal;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-especifica-aquisicao-de-produtos-agricolas-por-industria-exceto-fabricante-de-racao-animal-com-diferimento-do-lancamento-e-do-pagamento-do-icms-na-operacao-interna28
Autorização específica - diferimento do ICMS nas operações internas com couro bovino ou bufalino e produtos químicos adquiridos por industrializadores de couro (Decreto nº 11.796/2005) - apenas para indústrias de couro;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-especifica-diferimento-do-lancamento-e-do-pagamento-do-icms-nas-operacoes-internas-com-couro-bovino-ou-bufalino-e-produtos-quimicos-adquiridos-por-empresa-industrializadora-de-couro193
Autorização específica - diferimento do ICMS nas saídas internas de algodão em pluma, realizadas por produtor, para outro estabelecimento do mesmo produtor (art. 10, II do Decreto nº 9.895/2000) - apenas para produtores de algodão;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-especifica-saidas-internas-de-algodao-em-pluma-realizadas-por-produtor-para-outro-estabelecimento-do-mesmo-produtor-com-diferimento-do-lancamento-e-do-pagamento-do-icms-art-10-ii-do-dec-98952000185
Autorização específica - diferimento do ICMS no recebimento de grãos da CONAB - para estabelecimentos industriais, comerciais ou de cooperativas (art. 1º, § 1º, II, c do Anexo II ao RICMS);SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-especifica-diferimento-do-icms-no-recebimento-de-graos-da-conab-apenas-para-estabelecimentos-industriais-ou-comerciais-ou-de-cooperativas-art-1o-1o-ii-c-do-anexo-ii-ao-regulamento-do-icms142
Autorização específica - diferimento do lançamento e do pagamento do ICMS Garantido-Abate (Decreto nº 12.056/2006) - serviço exclusivo para atacadistas de carne (CAE 4.17.00);SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-especifica-diferimento-do-lancamento-e-pagamento-do-icms-incidente-na-aquisicao-de-gado-garantido-abate-decreto-no-120562006-servico-exclusivo-para-atacadistas-de-carne-cae-4170089
Autorização específica - diferimento do lançamento e do pagamento do ICMS incidente na aquisição de gado bovino e bufalino em pé para abate (Decreto nº 12.056/2006) - serviço exclusivo para frigoríficos (CAE 3.17.03);SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-especifica-diferimento-do-lancamento-e-pagamento-do-icms-incidente-na-aquisicao-de-gado-em-pe-para-abate-art-2o-1o-e-art-17-d-ii-do-decreto-no-120562006-servico-exclusivo-para-frigorificos-cae-31703179
Autorização específica - dilatação do prazo para pagamento semanal do ICMS devido nas saídas interestaduais (art. 72, V do Anexo V ao RICMS) - apenas para usinas e industriais de combustíveis, derivados ou não de petróleo;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-especifica-dilatacao-do-prazo-para-pagamento-semanal-do-icms-devido-nas-saidas-interestaduais-art-72-v-do-anexo-v-ao-ricms-servico-exclusivo-para-industriais-de-combustiveis-derivados-ou-nao-de-petroleo36
Autorização específica - dilatação do prazo para pagamento semanal do ICMS devido nas saídas interestaduais (art. 72, V do Anexo V ao RICMS) - serviço exclusivo para cerealistas ou comercializadoras de cereais;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-especifica-dilatacao-do-prazo-para-pagamento-semanal-do-icms-devido-nas-saidas-interestaduais-art-72-v-do-anexo-v-ao-ricms188
Autorização específica - dilatação do prazo para pagamento semanal do ICMS devido nas saídas interestaduais - diferimento do ICMS Garantido-Abate - serviços exclusivos para atacadistas de carne (CAE 4.17.00);SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-especifica-dilatacao-do-prazo-para-pagamento-semanal-do-icms-devido-nas-saidas-interestaduais-e-diferimento-do-icms-nas-operacoes-com-gado-para-abate-servico-exclusivo-para-atacadistas-de-carne-cae-4170056
Autorização específica - dilatação do prazo para pagamento semanal do ICMS devido nas saídas interestaduais - diferimento do ICMS nas operações com gado bovino e bufalino para abate ou diferimento do ICMS Garantido-Abate - exclusivo para frigoríficos;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-especifica-dilatacao-do-prazo-para-pagamento-semanal-do-icms-devido-nas-saidas-interestaduais-e-diferimento-do-icms-nas-operacoes-com-gado-para-abate-servico-exclusivo-para-frigorificos-cae-31703159
Autorização específica - dilatação do prazo para pagamento semanal do ICMS nas saídas interestaduais - empresas NÃO ENQUADRADAS como cerealistas ou comercializadoras de cereais, usinas ou industriais de combustíveis, frigoríficos e atacadistas de carne;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-especifica-dilatacao-do-prazo-p-pagamento-semanal-do-icms-devido-nas-saidas-interestaduais-p-empresas-que-nao-se-enquadram-como-cerealistas-comercializadoras-de-cereais-industriais-de-combustiveis-frigorificos-e-atacadistas-de-carne88
Autorização específica - percentual de valor diferenciado de MVA para produtos alimentícios (art. 6º-D do Anexo III ao RICMS) - apenas para indústrias de alimentos;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-especifica-concessao-percentual-de-valor-de-margem-de-valor-diferenciado-para-produtos-alimenticios80
Autorização específica - redução de base de cálculo nas operações com produtos resultantes da industrialização da mandioca (art. 60-B do Anexo I ao RICMS) - apenas para industrializadores de mandioca;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-especifica-reducao-de-base-de-calculo-nas-operacoes-com-produtos-resultantes-da-industrializacao-da-mandioca84
Autorização específica - redução de base de cálculo nas operações internas com máquinas novas relacionadas no Decreto nº 16.114/2023 - apenas para empresas comercializadoras das máquinas citadas;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-especifica-reducao-de-base-de-calculo-nas-operacoes-internas-com-maquinas-novas-relacionadas-no-dec-16114202393
Autorização específica - redução de base de cálculo nas saídas de farinha de mandioca promovidas por produtor rural (art. 60-F do Anexo I ao RICMS) - apenas para produtores rurais;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-especifica-reducao-de-base-de-calculo-nas-saidas-de-farinha-de-mandioca-promovidas-por-produtor-rural91
Autorização específica - remessa interna para industrialização com diferimento do ICMS incidente sobre o valor do serviço de industrialização, no retorno dos produtos ao estabelecimento de origem (Decreto nº 11.236/2003);SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Finanças e Impostos;https://www.ms.gov.br/financas-e-impostos/autorizacao-especifica-remessa-para-industrializacao-operacao-interna-com-diferimento-do-icms-incidente-sobre-o-valor-do-servico-de-industrializacao-no-retorno-dos-produtos-ao-estabelecimento-de-origem-dec-1123620036
Autorização para impressão de documentos fiscais (AIDF);SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Empresa, Indústria e Comércio;https://www.ms.gov.br/empresa-industria-e-comercio/autorizacao-para-impressao-de-documentos-fiscais-aidf173
Autorização para impressão de documentos fiscais (AIDF) - cancelamento do pedido;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Empresa, Indústria e Comércio;https://www.ms.gov.br/empresa-industria-e-comercio/autorizacao-para-impressao-de-documentos-fiscais-aidf-cancelamento-do-pedido199
Autorização para impressão de documentos fiscais (AIDF) - comprovação intempestiva;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Empresa, Indústria e Comércio;https://www.ms.gov.br/empresa-industria-e-comercio/autorizacao-para-impressao-de-documentos-fiscais-aidf-comprovacao-intempestiva112
