idservico;titulo_servico;slug_servico;slug_categoria;nome_popular;siglaorgao;nome_orgao;servico_ativo;digital;online;agendavel;acesso_externo;custo;tempo;tipo_tempo;data_criacao_servico;data_atualizacao_servico
1344;Alterar registro de empresa comerciante de agrotóxico e prestador de serviço;alterar-registro-de-empresa-comerciante-de-agrotoxico-e-prestador-de-servico103;agropecuaria-e-vida-rural;Renovar registro de empresa comerciante de agrotóxico e prestador de serviço;IAGRO;Agência Estadual de Defesa Sanitária Animal Vegetal  Mato Grosso do Sul;True;False;False;False;False;UFERMS 5;;Dias corridos;2025-03-27 14:54:20.686581+00:00;2026-04-29 18:26:29.323289+00:00
788;Analisar processos de segurança contra incêndio e pânico PSCIP;analisar-processos-de-seguranca-contra-incendio-e-panico-pscip16;seguranca;Processos contra incêndio;CBMMS;Corpo de Bombeiros Militar;True;False;False;False;True;Variável: consultar tabela;;Dias úteis;2023-06-07 13:14:22.214207+00:00;2025-12-18 18:17:09.409196+00:00
1026;Análise das obrigações socioeconômicas pactuadas em Termo de Acordo - Benefício da Lei Complementar nº 93/2001 (CIDEC);analise-das-obrigacoes-socioeconomicas-pactuadas-em-termo-de-acordo-beneficio-da-lei-complementar-n-932001-cidec169;financas-e-impostos;;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;True;False;False;False;True;Sem custo;;Dias corridos;2024-04-16 14:00:56.117032+00:00;2025-11-25 18:41:55.468308+00:00
1079;Anunciar vagas de emprego;anunciar-vagas-de-emprego-atraves-de-plataforma51;trabalho-emprego-e-previdencia;Anunciar vagas de emprego;FUNTRAB;Fundação de Trabalho de Mato Grosso do Sul;True;True;False;False;False;Sem custo;;Dias úteis;2024-07-09 14:38:06.376143+00:00;2026-05-12 12:42:12.054468+00:00
345;Apoiar a educação básica das escolas públicas de Mato Grosso do Sul;apoiar-a-educacao-basica-das-escolas-publicas-de-mato-grosso-do-sul168;educacao-e-pesquisa;;FADEB;Fundação da Apoio e Desenvolvimento à Educação Básica;True;False;False;False;False;Sem custo;;Meses;2023-05-11 12:37:07.078038+00:00;2025-10-20 19:54:00.342089+00:00
493;APOIO ADMINISTRATIVO;apoio-administrativo105;administracao-publica;;SEGOV MS;Secretaria de Estado de Governo e Gestão Estratégica de Mato Grosso do Sul;False;False;False;False;False;gratuito;;Dias úteis;2023-05-12 21:24:07.588203+00:00;2024-09-05 20:47:27.200242+00:00
77;Apoio psicológico;96-servico-de-atendimento-estudantil-apoio-psicologico74;educacao-e-pesquisa;;UEMS;Universidade Estadual de Mato Grosso do Sul;False;False;False;False;False;Sem custo;;Meses;2023-04-28 04:30:53.958143+00:00;2024-09-05 20:47:09.937808+00:00
886;Apresentar defesa e/ou recurso em processo administrativo sanitário PAS;processo-administrativo-sanitario3;saude-e-cuidado;Apresentar defesa e/ou recurso em processo administrativo sanitário (PAS);SES;Secretaria de Estado de Saúde de Mato Grosso do Sul;True;False;False;False;True;Sem custo;;Minutos;2023-08-16 19:21:57.245780+00:00;2025-12-18 15:01:16.665685+00:00
1518;Apresentar monitoramento de outorga de recursos hídricos;apresentar-monitoramento-de-outorga-de-recursos-hidricos182;meio-ambiente;Monitoramento de recursos hídricos;IMASUL;Instituto de Meio Ambiente de Mato Grosso do Sul;True;False;False;True;False;Sem custos;;Acesso Imediato;2026-05-12 18:52:36.806504+00:00;2026-05-12 19:02:39.625611+00:00
1432;Apresentar proposta de acordo à Câmara Administrativa de Soluções de Conflitos (CASC);apresentar-proposta-de-acordo-a-camara-administrativa-de-solucoes-de-conflitos-casc68;direitos-e-cidadania;Solucionar conflitos;PGE MS;Procuradoria Geral do Estado de Mato Grosso do Sul;False;True;True;True;False;A tentativa de acordo não gera custo.  Só haverá custos se o acordo for firmado com valores.;;Dias úteis;2025-09-05 14:52:54.701239+00:00;2025-09-05 14:52:54.701256+00:00
117;Apresentar proposta de acordos na Câmara Administrativa de Soluções de Conflitos (CASC) em precatórios;camara-administrativa-de-solucao-de-conflitos-precatorios92;justica;CASC precatórios;PGE MS;Procuradoria Geral do Estado de Mato Grosso do Sul;False;False;False;False;False;Sem custo;;Dias corridos;2023-05-04 18:22:42.914560+00:00;2025-05-06 19:07:26.286641+00:00
66;Aproveitamento de estudos;83-seacad-ead-aproveitamento-de-estudos74;educacao-e-pesquisa;;UEMS;Universidade Estadual de Mato Grosso do Sul;False;False;False;False;False;0;;Meses;2023-04-28 04:03:13.782678+00:00;2024-09-05 20:47:35.930841+00:00
1272;Assessoria de projetos especiais;assessoria-de-projetos-especiais28;educacao-e-pesquisa;Solicitar assessoria de projetos especiais;UEMS;Universidade Estadual de Mato Grosso do Sul;True;False;False;False;False;Sem custo;;Dias úteis;2024-09-02 20:47:26.001765+00:00;2025-09-02 18:51:12.935198+00:00
1433;Assinar Acordo de Cooperação Técnica sobre arborização urbana e rede de energia;assinar-acordo-de-cooperacao-tecnica-sobre-arborizacao-urbana-e-rede-de-energia67;energia;Fazer acordo com AGEMS sobre arborização e energia;AGEMS;Agência Estadual de Regulação de Serviços Públicos de Mato Grosso do Sul;True;False;False;False;False;Sem custo;;Dias corridos;2025-09-24 14:29:27.105187+00:00;2025-09-25 12:38:00.891815+00:00
1228;Assistência administrativa à coordenação do curso de ciências biológicas;assistencia-administrativa-a-coordenacao-do-curso-de-ciencias-biologicas10;educacao-e-pesquisa;Auxiliar de coordenação;UEMS;Universidade Estadual de Mato Grosso do Sul;True;True;False;False;True;Sem custo;;Dias corridos;2024-09-02 11:43:58.400347+00:00;2025-09-02 18:48:22.358896+00:00
221;Assistência técnica;assistencia-tecnica108;agropecuaria-e-vida-rural;ATER;AGRAER;Agência de Desenvolvimento Agrário e Extensão Rural de Mato Grosso do Sul;False;False;False;False;False;Sem custo;;Anos;2023-05-09 12:55:03.066485+00:00;2025-07-02 14:04:21.631802+00:00
862;Atender a pacientes com hemofilia, outras coagulopatias e anemia falciforme;atender-a-pacientes-com-hemofilia-outras-coagulopatias-e-anemia-falciforme27;saude-e-cuidado;Farmácia de coagulopatias e hemoglobinopatias Ambulatório de coagulopatias e hemoglobinopatias;SES;Secretaria de Estado de Saúde de Mato Grosso do Sul;True;False;False;False;True;Sem custo;;Minutos;2023-08-08 19:40:49.488231+00:00;2026-03-06 19:10:50.477638+00:00
890;Atender, Registrar e Apurar as infrações penais que configurem violência e familiar contra a mulher;atender-registrar-e-apurar-as-infracoes-penais-que-configurem-violencia-e-familiar-contra-a-mulher40;seguranca;Crimes contra a Mulher - Violência Doméstica;PCMS;Polícia Civil de Mato Grosso do Sul;True;False;False;False;True;Sem custo;20.0;Minutos;2023-08-21 15:48:52.185839+00:00;2025-10-24 23:22:53.697461+00:00
1377;Atendimento da equipe de comunicação;atendimento-da-equipe-de-comunicacao185;comunicacao-e-transparencia;Solicitar atendimento da equipe de comunicação;UEMS;Universidade Estadual de Mato Grosso do Sul;True;False;True;False;True;Sem custo;;Dias úteis;2025-05-21 13:58:42.351902+00:00;2025-09-02 02:50:54.896406+00:00
1367;Atendimento Educacional Especializado;atendimento-educacional-especializado188;educacao-e-pesquisa;Solicitar Atendimento Educacional Especializado para acadêmicos com deficiência;UEMS;Universidade Estadual de Mato Grosso do Sul;True;False;True;False;True;Sem custo;;Dias úteis;2025-05-21 12:05:52.780554+00:00;2025-09-02 02:54:14.863954+00:00
95;Atendimento estudantil;122-unidade-universitaria-de-ivinhema-atendimento-estudantil197;educacao-e-pesquisa;;UEMS;Universidade Estadual de Mato Grosso do Sul;False;False;False;False;False;Sem custo;;Meses;2023-04-28 05:13:18.319546+00:00;2024-09-05 20:47:21.185228+00:00
96;Atendimento psicológico;123-unidade-universitaria-de-ivinhema-atendimento-psicologico129;educacao-e-pesquisa;;UEMS;Universidade Estadual de Mato Grosso do Sul;False;False;False;False;False;Sem custo;;Meses;2023-04-28 05:14:43.185628+00:00;2024-09-05 20:47:18.280238+00:00
43;Atendimento psicológico;057-proec-servico-de-atendimento-psicologico119;educacao-e-pesquisa;;UEMS;Universidade Estadual de Mato Grosso do Sul;False;False;False;False;False;Sem custo;;Anos;2023-04-27 21:15:04.511491+00:00;2024-09-05 20:47:28.141928+00:00
