slug_servico;slug_categoria;Categoria;Nome do Serviço;Órgão;Nome do Órgão;Modalidade;Link;Visitas;URL_Original
localizar-pessoa-privada-de-liberdade21;seguranca;Seguranca;Localizar pessoa privada de liberdade;AGEPEN;Agência Estadual de Administração do Sistema Penitenciário;Digital;https://www.ms.gov.br/seguranca/localizar-pessoa-privada-de-liberdade21;1685;seguranca//localizar-pessoa-privada-de-liberdade21
solicitacao-de-curso-de-reciclagem-para-condutores-infratores28;transito-e-transportes;Transito E Transportes;Cursar a Reciclagem para Condutor Infrator;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/transito-e-transportes/solicitacao-de-curso-de-reciclagem-para-condutores-infratores28;1498;transito-e-transportes/solicitacao-de-curso-de-reciclagem-para-condutores-infratores28//index
participar-do-programa-cnh-ms-social138;transito-e-transportes;Transito E Transportes;Participar do Programa CNH MS Social;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/transito-e-transportes/participar-do-programa-cnh-ms-social138;1487;transito-e-transportes//participar-do-programa-cnh-ms-social138
ipva-reducao-do-ipva-para-proprietario-ou-possuidor-paraplegico-ou-portador-de-deficiencia-fisica104;financas-e-impostos;Financas E Impostos;IPVA - redução para pessoa com deficiência (PcD);SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/financas-e-impostos/ipva-reducao-do-ipva-para-proprietario-ou-possuidor-paraplegico-ou-portador-de-deficiencia-fisica104;1397;financas-e-impostos/ipva-reducao-do-ipva-para-proprietario-ou-possuidor-paraplegico-ou-portador-de-deficiencia-fisica104
solicitar-adicao-de-categoria-na-carteira-nacional-de-habilitacao-cnh144;transito-e-transportes;Transito E Transportes;Solicitar adição de categoria na Carteira Nacional de Habilitação - CNH;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/transito-e-transportes/solicitar-adicao-de-categoria-na-carteira-nacional-de-habilitacao-cnh144;1233;transito-e-transportes/solicitar-adicao-de-categoria-na-carteira-nacional-de-habilitacao-cnh144
registrar-pedido-de-acesso-a-informacao105;comunicacao-e-transparencia;Comunicacao E Transparencia;Fazer pedido de acesso à informação;CGE MS;Controladoria Geral do Estado de Mato Grosso do Sul;Digital;https://www.ms.gov.br/comunicacao-e-transparencia/registrar-pedido-de-acesso-a-informacao105;1230;comunicacao-e-transparencia/registrar-pedido-de-acesso-a-informacao105
certidao-de-inteiro-teor-digital19;empresa-industria-e-comercio;Empresa Industria E Comercio;Emitir certidão de inteiro teor digital;JUCEMS;Junta Comercial do Estado de Mato Grosso do Sul;Híbrido;https://www.ms.gov.br/empresa-industria-e-comercio/certidao-de-inteiro-teor-digital19;1149;empresa-industria-e-comercio//certidao-de-inteiro-teor-digital19
solicitar-carteira-de-identificacao-por-nome-social-cns171;direitos-e-cidadania;Direitos E Cidadania;Solicitar carteira de identificação por nome social - CNS;SEC;Secretaria de Estado da Cidadania;Presencial;https://www.ms.gov.br/direitos-e-cidadania/solicitar-carteira-de-identificacao-por-nome-social-cns171;1139;direitos-e-cidadania//solicitar-carteira-de-identificacao-por-nome-social-cns171
verificacao-de-vida-escolar-e-autenticidade-de-documentos-escolares-de-estudantes-do-sistema-de-ensino-de-mato-grosso-do-sul26;educacao-e-pesquisa;Educacao E Pesquisa;Solicitar a verificação de vida escolar e autenticidade de documentos escolares de estudantes do sistema de ensino de Mato Grosso do Sul;SED MS;Secretaria de Estado de Educação de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/educacao-e-pesquisa/verificacao-de-vida-escolar-e-autenticidade-de-documentos-escolares-de-estudantes-do-sistema-de-ensino-de-mato-grosso-do-sul26;1122;educacao-e-pesquisa/verificacao-de-vida-escolar-e-autenticidade-de-documentos-escolares-de-estudantes-do-sistema-de-ensino-de-mato-grosso-do-sul26
emitir-no-formato-digital-a-carteira-de-identificacao-estudantil-de-mato-grosso-do-sul75;educacao-e-pesquisa;Educacao E Pesquisa;Emitir, no formato digital, a Carteira de Identificação Estudantil de Mato Grosso do Sul;SED MS;Secretaria de Estado de Educação de Mato Grosso do Sul;Digital;https://www.ms.gov.br/educacao-e-pesquisa/emitir-no-formato-digital-a-carteira-de-identificacao-estudantil-de-mato-grosso-do-sul75;1045;educacao-e-pesquisa/emitir-no-formato-digital-a-carteira-de-identificacao-estudantil-de-mato-grosso-do-sul75
